Price_Date,States,Commodity,Price
21-May-19,Delhi,Mango,4250.00
21-May-19,Delhi,Mango,4750.00
20-May-19,Delhi,Mango,3970.00
20-May-19,Delhi,Mango,3792.00
20-May-19,Delhi,Mango,2719.00
20-May-19,Delhi,Mango,4500.00
20-May-19,Delhi,Mango,4250.00
18-May-19,Delhi,Mango,4205.00
18-May-19,Delhi,Mango,3875.00
18-May-19,Delhi,Mango,2948.00
18-May-19,Delhi,Mango,5000.00
18-May-19,Delhi,Mango,4250.00
17-May-19,Delhi,Mango,4205.00
17-May-19,Delhi,Mango,3875.00
17-May-19,Delhi,Mango,2948.00
17-May-19,Delhi,Mango,5000.00
17-May-19,Delhi,Mango,4250.00
16-May-19,Delhi,Mango,4205.00
16-May-19,Delhi,Mango,3958.00
16-May-19,Delhi,Mango,3052.00
16-May-19,Delhi,Mango,5250.00
16-May-19,Delhi,Mango,4250.00
15-May-19,Delhi,Mango,4268.00
15-May-19,Delhi,Mango,3958.00
15-May-19,Delhi,Mango,3052.00
15-May-19,Delhi,Mango,5500.00
15-May-19,Delhi,Mango,4250.00
14-May-19,Delhi,Mango,4268.00
14-May-19,Delhi,Mango,3958.00
14-May-19,Delhi,Mango,3052.00
14-May-19,Delhi,Mango,5500.00
13-May-19,Delhi,Mango,4268.00
